City_District,Year,Season,Crop_Type,Failure_Rate_Percentage,Affected_Area_Hectares,Primary_Cause,Economic_Loss_Crores
Jalgaon,2024,Zaid,Rice,23.81,947.14,Disease,22.55
Washim,2024,Zaid,Bajra,68.72,4933.04,Flood,339.0
Malegaon,2021,Rabi,Wheat,37.62,4848.39,Soil Degradation,182.4
Navi Mumbai,2024,Kharif,Wheat,47.61,2314.05,Heatwave,110.17
Ahmednagar,2021,Zaid,Sugarcane,66.29,3247.14,Flood,215.25
Gondia,2024,Zaid,Tur (Pigeon Pea),75.18,114.81,Pest Attack,8.63
Thane,2023,Kharif,Rice,55.39,1764.79,Unseasonal Rain,97.75
Pune,2022,Rabi,Tur (Pigeon Pea),33.82,1635.21,Soil Degradation,55.3
Wardha,2024,Kharif,Cotton,23.76,4413.66,Heatwave,104.87
Nanded,2024,Kharif,Tur (Pigeon Pea),13.97,4266.24,Disease,59.6
Solapur,2022,Kharif,Jowar,47.77,4907.45,Heatwave,234.43
Pune,2021,Kharif,Onion,78.18,4259.74,Unseasonal Rain,333.03
Parbhani,2022,Rabi,Jowar,43.34,2630.78,Heatwave,114.02
Nashik,2024,Rabi,Bajra,54.23,1412.51,Drought,76.6
Ratnagiri,2024,Rabi,Jowar,85.22,4256.88,Flood,362.77
Jalgaon,2021,Kharif,Jowar,86.77,1320.3,Flood,114.56
Vasai-Virar,2021,Zaid,Rice,24.71,1820.46,Unseasonal Rain,44.98
Palghar,2021,Zaid,Onion,68.26,3915.49,Soil Degradation,267.27
Nashik,2021,Rabi,Cotton,69.91,4562.02,Soil Degradation,318.93
Thane,2022,Zaid,Bajra,10.89,1868.67,Disease,20.35
Satara,2022,Zaid,Sugarcane,12.22,3338.0,Pest Attack,40.79
Panvel,2023,Zaid,Rice,58.96,2397.28,Heatwave,141.34
Nashik,2021,Zaid,Wheat,84.58,1549.65,Pest Attack,131.07
Panvel,2024,Kharif,Tur (Pigeon Pea),14.21,3349.94,Soil Degradation,47.6
Ichalkaranji,2022,Rabi,Wheat,27.65,3784.74,Disease,104.65
Nanded,2024,Zaid,Wheat,86.95,3781.88,Pest Attack,328.83
Ratnagiri,2023,Kharif,Soybean,52.15,4494.66,Flood,234.4
Beed,2021,Zaid,Wheat,43.14,4989.24,Unseasonal Rain,215.24
Solapur,2021,Rabi,Onion,9.95,2409.07,Unseasonal Rain,23.97
Washim,2022,Rabi,Wheat,20.78,3725.07,Pest Attack,77.41
Bhusawal,2022,Rabi,Bajra,83.66,3746.53,Pest Attack,313.43
Satara,2023,Zaid,Sugarcane,87.63,4182.24,Drought,366.49
Nagpur,2022,Kharif,Sugarcane,31.48,1737.49,Heatwave,54.7
Pune,2024,Zaid,Sugarcane,15.87,4399.55,Drought,69.82
Vasai-Virar,2022,Rabi,Sugarcane,40.82,3432.58,Disease,140.12
Malegaon,2024,Zaid,Soybean,15.81,2396.25,Pest Attack,37.88
Panvel,2021,Kharif,Onion,81.96,450.22,Drought,36.9
Chandrapur,2024,Zaid,Onion,91.42,2522.74,Drought,230.63
Hingoli,2023,Zaid,Maize,47.81,3648.36,Heatwave,174.43
Latur,2024,Kharif,Soybean,39.66,497.36,Disease,19.73
Kalyan-Dombivli,2022,Zaid,Cotton,48.37,621.14,Heatwave,30.04
Kalyan-Dombivli,2023,Kharif,Maize,15.12,2153.79,Unseasonal Rain,32.57
Jalgaon,2024,Rabi,Bajra,55.65,2307.03,Heatwave,128.39
Thane,2021,Rabi,Sugarcane,40.79,2124.73,Unseasonal Rain,86.67
Jalgaon,2022,Kharif,Jowar,61.96,1028.14,Heatwave,63.7
Ratnagiri,2022,Zaid,Maize,36.2,1468.09,Flood,53.14
Sangli,2024,Zaid,Tur (Pigeon Pea),59.72,1607.03,Flood,95.97
Kalyan-Dombivli,2021,Zaid,Jowar,70.16,4204.54,Soil Degradation,294.99
Osmanabad,2024,Zaid,Rice,29.34,754.67,Drought,22.14
Jalna,2021,Zaid,Onion,90.41,4532.97,Drought,409.83
Gondia,2023,Zaid,Jowar,92.49,2830.3,Flood,261.77
Ambarnath,2024,Kharif,Tur (Pigeon Pea),13.93,384.51,Disease,5.36
Mumbai,2024,Zaid,Jowar,67.32,3670.96,Unseasonal Rain,247.13
Hingoli,2022,Rabi,Rice,30.92,3170.7,Drought,98.04
Nagpur,2023,Rabi,Cotton,16.41,3477.98,Heatwave,57.07
Jalgaon,2024,Zaid,Jowar,41.88,4286.41,Pest Attack,179.51
Amravati,2021,Rabi,Bajra,89.08,1211.75,Pest Attack,107.94
Nandurbar,2021,Kharif,Sugarcane,56.83,3706.3,Flood,210.63
Ratnagiri,2023,Rabi,Bajra,78.5,1418.11,Pest Attack,111.32
Panvel,2023,Rabi,Cotton,21.14,4607.2,Drought,97.4
Dhule,2023,Zaid,Onion,49.73,4893.6,Unseasonal Rain,243.36
Jalgaon,2022,Kharif,Wheat,6.13,729.0,Unseasonal Rain,4.47
Thane,2023,Kharif,Bajra,82.86,3474.99,Unseasonal Rain,287.94
Bhiwandi,2024,Rabi,Maize,54.97,4114.9,Pest Attack,226.2
Navi Mumbai,2024,Kharif,Sugarcane,29.0,320.75,Unseasonal Rain,9.3
Osmanabad,2022,Kharif,Jowar,20.75,4344.93,Soil Degradation,90.16
Jalna,2022,Zaid,Cotton,30.9,2564.5,Drought,79.24
Latur,2021,Kharif,Bajra,69.7,1097.63,Soil Degradation,76.5
Bhandara,2022,Kharif,Onion,9.77,1330.17,Pest Attack,13.0
Wardha,2023,Kharif,Maize,26.55,247.39,Soil Degradation,6.57
Mira-Bhayandar,2022,Kharif,Sugarcane,54.18,833.0,Heatwave,45.13
Dhule,2021,Zaid,Sugarcane,94.35,2220.18,Flood,209.47
Latur,2024,Rabi,Tur (Pigeon Pea),43.16,4617.14,Drought,199.28
Satara,2021,Zaid,Tur (Pigeon Pea),59.99,3207.31,Heatwave,192.41
Mumbai,2024,Zaid,Sugarcane,8.71,4688.73,Soil Degradation,40.84
Bhiwandi,2023,Kharif,Sugarcane,85.1,1942.36,Heatwave,165.29
Mumbai,2021,Kharif,Onion,84.27,2127.87,Pest Attack,179.32
Wardha,2024,Zaid,Onion,41.2,3842.41,Heatwave,158.31
Nashik,2023,Rabi,Jowar,43.36,1969.7,Heatwave,85.41
Washim,2022,Zaid,Bajra,32.23,480.73,Unseasonal Rain,15.49
Ratnagiri,2023,Zaid,Sugarcane,66.16,3423.6,Unseasonal Rain,226.51
Solapur,2024,Kharif,Cotton,16.5,1483.08,Pest Attack,24.47
Wardha,2023,Zaid,Sugarcane,70.33,2878.31,Flood,202.43
Bhandara,2021,Kharif,Tur (Pigeon Pea),15.97,1357.24,Flood,21.68
Kalyan-Dombivli,2021,Rabi,Wheat,35.28,803.23,Pest Attack,28.34
Navi Mumbai,2024,Rabi,Jowar,90.91,3550.04,Unseasonal Rain,322.73
Amravati,2023,Zaid,Rice,10.65,2994.91,Heatwave,31.9
Ichalkaranji,2024,Rabi,Sugarcane,62.45,448.7,Flood,28.02
Parbhani,2023,Kharif,Cotton,47.65,181.86,Pest Attack,8.67
Gondia,2021,Kharif,Maize,42.86,3424.33,Heatwave,146.77
Dhule,2022,Rabi,Cotton,83.87,3348.06,Soil Degradation,280.8
Ambarnath,2021,Zaid,Wheat,91.56,136.2,Pest Attack,12.47
Bhiwandi,2021,Kharif,Soybean,52.42,2803.85,Heatwave,146.98
Jalgaon,2022,Kharif,Soybean,7.67,2602.38,Drought,19.96
Chandrapur,2023,Zaid,Rice,41.02,1551.95,Disease,63.66
Jalna,2021,Zaid,Onion,64.96,4897.45,Soil Degradation,318.14
Ratnagiri,2023,Kharif,Sugarcane,43.31,469.68,Heatwave,20.34
Vasai-Virar,2023,Rabi,Wheat,32.97,3251.24,Flood,107.19
Solapur,2022,Rabi,Soybean,90.19,2890.9,Pest Attack,260.73
Sangli,2024,Zaid,Rice,49.0,4388.64,Heatwave,215.04
Thane,2021,Kharif,Jowar,13.29,659.86,Flood,8.77
Jalgaon,2021,Kharif,Onion,40.74,1256.22,Unseasonal Rain,51.18
Vasai-Virar,2024,Zaid,Soybean,33.6,777.88,Unseasonal Rain,26.14
Mira-Bhayandar,2022,Kharif,Bajra,83.31,3684.27,Heatwave,306.94
Bhandara,2021,Zaid,Cotton,81.07,436.98,Drought,35.43
Ratnagiri,2023,Zaid,Maize,19.48,2527.26,Drought,49.23
Nandurbar,2024,Kharif,Tur (Pigeon Pea),83.81,3263.46,Flood,273.51
Mumbai,2021,Kharif,Wheat,79.79,4198.46,Disease,335.0
Latur,2024,Kharif,Tur (Pigeon Pea),79.4,3524.64,Soil Degradation,279.86
Nashik,2024,Rabi,Maize,82.0,3671.51,Flood,301.06
Nagpur,2022,Zaid,Soybean,70.82,2856.89,Soil Degradation,202.32
Kolhapur,2024,Kharif,Onion,72.0,2566.09,Flood,184.76
Vasai-Virar,2021,Zaid,Maize,93.69,2005.49,Pest Attack,187.89
Nanded,2022,Kharif,Soybean,5.69,1342.67,Pest Attack,7.64
Navi Mumbai,2022,Kharif,Onion,57.5,109.62,Flood,6.3
Washim,2024,Zaid,Onion,55.78,4554.17,Flood,254.03
Jalna,2022,Zaid,Soybean,40.71,4071.86,Soil Degradation,165.77
Washim,2023,Zaid,Rice,75.85,1815.68,Drought,137.72
Vasai-Virar,2021,Kharif,Sugarcane,73.7,4901.95,Drought,361.27
Parbhani,2021,Rabi,Soybean,49.35,4431.39,Unseasonal Rain,218.69
Gondia,2023,Rabi,Cotton,20.57,3551.65,Heatwave,73.06
Nagpur,2022,Kharif,Maize,74.33,1963.28,Drought,145.93
Chandrapur,2022,Rabi,Onion,56.39,322.36,Heatwave,18.18
Latur,2024,Kharif,Soybean,64.05,1617.46,Unseasonal Rain,103.6
Amravati,2022,Kharif,Bajra,14.7,3500.13,Drought,51.45
Amravati,2024,Rabi,Sugarcane,93.02,2255.45,Soil Degradation,209.8
Nandurbar,2024,Rabi,Cotton,31.32,4986.4,Unseasonal Rain,156.17
Satara,2022,Kharif,Sugarcane,66.94,734.49,Pest Attack,49.17
Navi Mumbai,2024,Kharif,Onion,28.33,880.11,Unseasonal Rain,24.93
Jalna,2022,Kharif,Wheat,16.82,1674.04,Unseasonal Rain,28.16
Nagpur,2024,Rabi,Soybean,21.13,1086.88,Unseasonal Rain,22.97
Amravati,2023,Kharif,Sugarcane,31.58,4647.89,Heatwave,146.78
Mira-Bhayandar,2022,Rabi,Sugarcane,22.04,2285.82,Flood,50.38
Ratnagiri,2022,Rabi,Rice,6.21,3571.65,Flood,22.18
Panvel,2021,Kharif,Jowar,94.02,3688.77,Pest Attack,346.82
Satara,2022,Kharif,Onion,44.59,437.06,Disease,19.49
Ichalkaranji,2021,Zaid,Wheat,16.59,804.88,Unseasonal Rain,13.35
Ulhasnagar,2023,Rabi,Maize,84.58,3889.97,Drought,329.01
Ahmednagar,2021,Zaid,Maize,71.08,1450.74,Disease,103.12
Mira-Bhayandar,2023,Rabi,Sugarcane,85.83,4151.46,Flood,356.32
Aurangabad,2024,Rabi,Rice,38.0,263.11,Disease,10.0
Kolhapur,2021,Kharif,Wheat,38.52,4030.47,Flood,155.25
Washim,2023,Zaid,Maize,52.99,2106.12,Disease,111.6
Nanded,2024,Rabi,Soybean,13.87,4931.25,Flood,68.4
Solapur,2021,Kharif,Rice,20.58,502.13,Heatwave,10.33
Satara,2024,Kharif,Onion,89.01,142.06,Drought,12.64
Mira-Bhayandar,2022,Zaid,Maize,5.07,3262.44,Heatwave,16.54
Wardha,2022,Rabi,Tur (Pigeon Pea),89.99,4914.72,Disease,442.28
Beed,2021,Rabi,Cotton,44.56,288.16,Unseasonal Rain,12.84
Jalna,2021,Rabi,Onion,14.03,3309.95,Pest Attack,46.44
Nandurbar,2022,Zaid,Maize,35.7,2179.21,Flood,77.8
Satara,2024,Zaid,Jowar,30.55,3876.8,Soil Degradation,118.44
Bhiwandi,2024,Rabi,Sugarcane,39.1,4482.26,Unseasonal Rain,175.26
Amravati,2024,Rabi,Tur (Pigeon Pea),53.33,904.47,Disease,48.24
Sindhudurg,2021,Zaid,Tur (Pigeon Pea),54.27,814.98,Heatwave,44.23
Jalna,2023,Zaid,Wheat,30.1,1846.31,Flood,55.57
Yavatmal,2023,Zaid,Maize,84.32,4098.1,Pest Attack,345.55
Amravati,2024,Rabi,Sugarcane,44.48,1163.52,Unseasonal Rain,51.75
Nashik,2021,Kharif,Sugarcane,72.44,860.0,Pest Attack,62.3
Ratnagiri,2023,Kharif,Onion,50.01,1988.62,Drought,99.45
Nanded,2023,Zaid,Maize,61.07,788.78,Drought,48.17
Aurangabad,2022,Kharif,Jowar,8.77,2722.01,Heatwave,23.87
Latur,2021,Rabi,Onion,30.28,1248.81,Flood,37.81
Navi Mumbai,2024,Kharif,Maize,55.3,1368.52,Flood,75.68
Ichalkaranji,2021,Kharif,Jowar,87.53,1842.56,Heatwave,161.28
Thane,2022,Zaid,Jowar,82.76,4081.67,Unseasonal Rain,337.8
Vasai-Virar,2024,Zaid,Wheat,50.41,1359.68,Unseasonal Rain,68.54
Kolhapur,2022,Zaid,Bajra,80.97,2023.28,Unseasonal Rain,163.82
Bhandara,2024,Rabi,Onion,61.03,3162.81,Disease,193.03
Dhule,2023,Rabi,Onion,72.89,331.71,Soil Degradation,24.18
Jalna,2021,Rabi,Maize,84.17,959.28,Soil Degradation,80.74
Amravati,2024,Kharif,Sugarcane,44.96,3541.43,Unseasonal Rain,159.22
Hingoli,2022,Kharif,Onion,94.02,4617.64,Flood,434.15
Nashik,2021,Rabi,Rice,24.21,2459.39,Pest Attack,59.54
Yavatmal,2022,Kharif,Maize,27.74,3130.96,Unseasonal Rain,86.85
Dhule,2021,Zaid,Wheat,38.44,4454.65,Heatwave,171.24
Panvel,2022,Kharif,Jowar,67.61,1969.97,Flood,133.19
Aurangabad,2023,Zaid,Tur (Pigeon Pea),90.34,1291.48,Soil Degradation,116.67
Ratnagiri,2023,Zaid,Sugarcane,21.23,2760.35,Unseasonal Rain,58.6
Mira-Bhayandar,2021,Zaid,Wheat,17.89,1593.71,Pest Attack,28.51
Jalgaon,2022,Rabi,Tur (Pigeon Pea),87.91,2258.98,Unseasonal Rain,198.59
Kolhapur,2022,Zaid,Wheat,73.08,756.08,Heatwave,55.25
Nandurbar,2023,Kharif,Sugarcane,19.98,3296.37,Unseasonal Rain,65.86
Chandrapur,2021,Rabi,Tur (Pigeon Pea),92.73,681.1,Flood,63.16
Wardha,2023,Kharif,Onion,64.48,3242.56,Pest Attack,209.08
Kolhapur,2023,Rabi,Sugarcane,12.24,3410.38,Disease,41.74
Beed,2023,Rabi,Onion,26.39,3696.54,Pest Attack,97.55
Washim,2021,Rabi,Soybean,83.28,4388.36,Flood,365.46
Palghar,2022,Zaid,Cotton,68.19,2341.92,Unseasonal Rain,159.7
Vasai-Virar,2023,Kharif,Maize,58.48,4554.64,Drought,266.36
Sindhudurg,2021,Kharif,Sugarcane,80.71,1808.23,Unseasonal Rain,145.94
Ratnagiri,2022,Kharif,Cotton,63.71,2403.33,Flood,153.12
Sindhudurg,2021,Zaid,Maize,81.22,4149.94,Unseasonal Rain,337.06
Mumbai,2021,Rabi,Wheat,41.39,2495.19,Heatwave,103.28
Solapur,2023,Rabi,Bajra,54.88,842.74,Unseasonal Rain,46.25
Ulhasnagar,2021,Zaid,Sugarcane,12.07,4890.24,Disease,59.03
Thane,2024,Kharif,Jowar,41.17,3435.45,Pest Attack,141.44
Vasai-Virar,2024,Rabi,Onion,86.58,1916.04,Pest Attack,165.89
Ichalkaranji,2021,Rabi,Soybean,32.06,3503.74,Pest Attack,112.33
Ambarnath,2021,Rabi,Onion,23.41,1543.64,Disease,36.14
Pune,2023,Rabi,Cotton,86.59,3266.11,Pest Attack,282.81
Panvel,2022,Zaid,Sugarcane,29.93,1808.0,Unseasonal Rain,54.11
Osmanabad,2021,Kharif,Rice,15.28,2585.04,Soil Degradation,39.5
Vasai-Virar,2022,Rabi,Bajra,27.88,2211.3,Pest Attack,61.65
Dhule,2022,Rabi,Sugarcane,18.15,1219.52,Flood,22.13
Sindhudurg,2021,Rabi,Onion,36.18,638.57,Soil Degradation,23.1
Jalgaon,2024,Rabi,Maize,89.9,3439.25,Pest Attack,309.19
Akola,2023,Rabi,Bajra,58.24,3916.88,Flood,228.12
Bhandara,2024,Kharif,Soybean,5.41,2713.56,Disease,14.68
Ulhasnagar,2023,Rabi,Bajra,52.82,2349.51,Drought,124.1
Amravati,2024,Zaid,Soybean,33.42,3459.86,Flood,115.63
Bhusawal,2024,Rabi,Tur (Pigeon Pea),27.64,821.98,Soil Degradation,22.72
Nandurbar,2022,Zaid,Cotton,20.6,2502.04,Pest Attack,51.54
Aurangabad,2021,Rabi,Onion,24.35,4509.91,Drought,109.82
Navi Mumbai,2024,Kharif,Onion,61.2,4617.36,Drought,282.58
Wardha,2022,Rabi,Bajra,78.05,609.14,Unseasonal Rain,47.54
Mira-Bhayandar,2023,Kharif,Soybean,10.01,4210.05,Heatwave,42.14
Ulhasnagar,2023,Zaid,Maize,16.65,675.7,Heatwave,11.25
Gondia,2023,Zaid,Soybean,33.69,3096.57,Flood,104.32
Bhandara,2022,Zaid,Bajra,73.18,745.46,Drought,54.55
Ulhasnagar,2022,Zaid,Soybean,46.19,1753.97,Heatwave,81.02
Washim,2024,Kharif,Sugarcane,83.59,3068.55,Flood,256.5
Akola,2021,Rabi,Soybean,67.28,469.03,Disease,31.56
Solapur,2023,Kharif,Soybean,91.86,129.23,Disease,11.87
Ratnagiri,2024,Kharif,Onion,29.5,2634.06,Soil Degradation,77.7
Yavatmal,2024,Kharif,Soybean,56.06,1434.42,Soil Degradation,80.41
Osmanabad,2024,Zaid,Rice,39.24,803.93,Disease,31.55
Chandrapur,2022,Kharif,Jowar,57.84,1501.98,Soil Degradation,86.87
Solapur,2021,Rabi,Sugarcane,43.59,1644.3,Soil Degradation,71.68
Gondia,2022,Rabi,Jowar,67.76,2629.64,Soil Degradation,178.18
Ulhasnagar,2023,Zaid,Rice,41.44,3600.55,Pest Attack,149.21
Thane,2023,Zaid,Bajra,86.52,3283.37,Flood,284.08
Gondia,2021,Kharif,Soybean,39.73,561.69,Disease,22.32
Nagpur,2021,Zaid,Jowar,90.7,140.2,Flood,12.72
Sangli,2021,Rabi,Tur (Pigeon Pea),82.19,4027.12,Flood,330.99
Ahmednagar,2021,Kharif,Maize,72.75,1431.12,Flood,104.11
Sangli,2022,Kharif,Rice,36.64,3824.07,Soil Degradation,140.11
Panvel,2024,Kharif,Sugarcane,79.71,3653.93,Drought,291.25
Solapur,2022,Zaid,Tur (Pigeon Pea),66.74,1158.61,Disease,77.33
Ulhasnagar,2022,Rabi,Rice,55.33,1647.47,Pest Attack,91.15
Pune,2021,Rabi,Bajra,6.05,4724.84,Unseasonal Rain,28.59
Latur,2022,Kharif,Soybean,22.56,3015.37,Unseasonal Rain,68.03
Satara,2021,Kharif,Rice,32.6,2793.85,Heatwave,91.08
Nashik,2024,Rabi,Cotton,59.45,1618.8,Disease,96.24
Gondia,2022,Zaid,Onion,27.42,925.03,Disease,25.36
Beed,2022,Zaid,Sugarcane,23.22,1964.85,Pest Attack,45.62
Mira-Bhayandar,2024,Zaid,Wheat,92.9,2158.48,Flood,200.52
Nagpur,2023,Zaid,Sugarcane,40.05,3411.59,Disease,136.63
Panvel,2021,Kharif,Bajra,23.49,1397.39,Flood,32.82
Parbhani,2024,Zaid,Bajra,83.73,3279.26,Pest Attack,274.57
Ahmednagar,2024,Kharif,Jowar,71.45,3538.44,Flood,252.82
Yavatmal,2024,Rabi,Maize,12.81,3849.74,Heatwave,49.32
Mumbai,2021,Kharif,Soybean,10.95,3877.34,Soil Degradation,42.46
Bhandara,2022,Zaid,Onion,27.33,3257.02,Soil Degradation,89.01
Hingoli,2022,Zaid,Onion,48.8,362.21,Unseasonal Rain,17.68
Palghar,2023,Zaid,Jowar,51.5,2408.57,Pest Attack,124.04
Bhusawal,2022,Rabi,Sugarcane,18.58,2816.15,Disease,52.32
Wardha,2021,Kharif,Soybean,29.71,425.53,Pest Attack,12.64
Hingoli,2022,Kharif,Onion,46.32,1094.59,Pest Attack,50.7
Navi Mumbai,2022,Rabi,Rice,57.17,3270.25,Soil Degradation,186.96
Wardha,2023,Kharif,Wheat,69.24,2796.04,Unseasonal Rain,193.6
Washim,2021,Rabi,Sugarcane,5.63,3804.22,Unseasonal Rain,21.42
Mumbai,2021,Zaid,Onion,71.25,578.54,Pest Attack,41.22
Ratnagiri,2022,Kharif,Onion,42.72,3309.81,Unseasonal Rain,141.4
Jalna,2021,Kharif,Cotton,23.59,1822.62,Pest Attack,43.0
Bhiwandi,2023,Zaid,Bajra,16.17,2566.19,Drought,41.5
Jalna,2024,Rabi,Cotton,40.08,1765.48,Unseasonal Rain,70.76
Navi Mumbai,2024,Kharif,Onion,11.09,3332.99,Heatwave,36.96
Nashik,2022,Rabi,Bajra,16.56,3929.98,Disease,65.08
Sangli,2023,Rabi,Rice,64.51,658.14,Pest Attack,42.46
Mumbai,2021,Zaid,Jowar,50.67,1982.34,Heatwave,100.45
Washim,2022,Zaid,Wheat,92.78,4169.1,Flood,386.81
Kalyan-Dombivli,2021,Rabi,Bajra,69.46,4799.62,Soil Degradation,333.38
Jalgaon,2021,Kharif,Cotton,56.01,568.76,Soil Degradation,31.86
Thane,2022,Zaid,Rice,42.04,3348.48,Soil Degradation,140.77
Chandrapur,2024,Kharif,Sugarcane,90.75,1971.81,Heatwave,178.94
Navi Mumbai,2023,Kharif,Sugarcane,81.14,2560.33,Drought,207.75
Satara,2021,Kharif,Cotton,54.44,917.67,Disease,49.96
Thane,2021,Zaid,Maize,14.17,1186.99,Flood,16.82
Satara,2021,Zaid,Soybean,69.6,1419.66,Soil Degradation,98.81
Solapur,2023,Rabi,Onion,22.31,4162.93,Disease,92.87
Nagpur,2023,Rabi,Maize,70.31,639.43,Pest Attack,44.96
Satara,2023,Zaid,Cotton,51.79,965.4,Disease,50.0
Parbhani,2021,Zaid,Onion,29.29,194.61,Pest Attack,5.7
Palghar,2024,Rabi,Onion,51.52,3689.52,Unseasonal Rain,190.08
Sangli,2023,Zaid,Tur (Pigeon Pea),89.26,416.2,Unseasonal Rain,37.15
Aurangabad,2021,Kharif,Soybean,15.36,4407.43,Heatwave,67.7
Gondia,2023,Kharif,Wheat,59.93,1093.04,Heatwave,65.51
Panvel,2023,Rabi,Cotton,39.9,277.54,Pest Attack,11.07
Kolhapur,2024,Rabi,Sugarcane,9.96,4296.55,Disease,42.79
Ulhasnagar,2021,Kharif,Rice,67.24,4622.5,Disease,310.82
Yavatmal,2022,Zaid,Cotton,13.92,1861.57,Pest Attack,25.91
Chandrapur,2021,Rabi,Cotton,52.06,3088.59,Heatwave,160.79
Kolhapur,2022,Rabi,Rice,33.87,4924.77,Disease,166.8
Kalyan-Dombivli,2021,Zaid,Maize,47.18,2288.35,Disease,107.96
Nashik,2021,Zaid,Onion,51.88,2618.01,Pest Attack,135.82
Kolhapur,2022,Rabi,Jowar,74.63,3826.88,Soil Degradation,285.6
Nandurbar,2021,Zaid,Tur (Pigeon Pea),27.44,4436.28,Unseasonal Rain,121.73
Bhiwandi,2022,Rabi,Tur (Pigeon Pea),52.75,3312.19,Drought,174.72
Mumbai,2021,Kharif,Tur (Pigeon Pea),30.85,154.14,Soil Degradation,4.76
Solapur,2024,Rabi,Rice,75.58,4645.94,Flood,351.14
Sangli,2023,Kharif,Jowar,53.95,2697.08,Soil Degradation,145.51
Ichalkaranji,2023,Zaid,Maize,46.37,4107.3,Drought,190.46
Navi Mumbai,2021,Rabi,Rice,59.36,992.16,Pest Attack,58.89
Nandurbar,2021,Rabi,Jowar,63.63,1299.39,Soil Degradation,82.68
Beed,2023,Rabi,Tur (Pigeon Pea),7.84,4078.78,Flood,31.98
Parbhani,2023,Kharif,Sugarcane,13.69,4746.57,Heatwave,64.98
Vasai-Virar,2021,Kharif,Sugarcane,45.67,1547.41,Pest Attack,70.67
Mumbai,2021,Rabi,Sugarcane,59.01,1182.21,Drought,69.76
Gondia,2024,Kharif,Rice,88.57,3210.16,Disease,284.32
Jalgaon,2021,Zaid,Bajra,83.94,4255.35,Flood,357.19
Amravati,2021,Zaid,Jowar,21.92,988.98,Unseasonal Rain,21.68
Hingoli,2024,Kharif,Tur (Pigeon Pea),19.92,1753.28,Drought,34.93
Kalyan-Dombivli,2021,Rabi,Sugarcane,29.81,949.04,Drought,28.29
Ichalkaranji,2021,Zaid,Bajra,38.77,1275.87,Flood,49.47
Panvel,2023,Rabi,Sugarcane,46.57,1651.48,Pest Attack,76.91
Beed,2022,Kharif,Wheat,29.88,178.57,Flood,5.34
Akola,2022,Kharif,Sugarcane,44.61,4276.73,Flood,190.78
Satara,2021,Rabi,Soybean,10.57,1993.47,Disease,21.07
Solapur,2021,Zaid,Wheat,18.21,427.47,Disease,7.78
Aurangabad,2023,Rabi,Sugarcane,68.37,1651.07,Drought,112.88
Panvel,2022,Rabi,Soybean,82.69,376.97,Drought,31.17
Amravati,2022,Rabi,Maize,71.8,4871.58,Drought,349.78
Nandurbar,2021,Rabi,Cotton,83.77,3693.29,Flood,309.39
Sindhudurg,2021,Zaid,Jowar,82.72,759.14,Pest Attack,62.8
Wardha,2023,Zaid,Sugarcane,7.6,4346.51,Pest Attack,33.03
Vasai-Virar,2022,Rabi,Onion,67.95,1444.49,Drought,98.15
Nandurbar,2022,Kharif,Tur (Pigeon Pea),46.49,3876.96,Soil Degradation,180.24
Latur,2024,Kharif,Tur (Pigeon Pea),70.7,163.67,Pest Attack,11.57
Ahmednagar,2024,Zaid,Onion,93.71,4229.77,Drought,396.37
Amravati,2021,Zaid,Wheat,80.93,2267.43,Drought,183.5
Sindhudurg,2023,Rabi,Sugarcane,91.07,3683.22,Drought,335.43
Thane,2024,Kharif,Jowar,72.3,1743.15,Disease,126.03
Palghar,2021,Zaid,Rice,75.72,324.71,Heatwave,24.59
Malegaon,2024,Zaid,Soybean,32.2,4059.95,Soil Degradation,130.73
Ratnagiri,2023,Kharif,Onion,26.18,4576.8,Disease,119.82
Nanded,2024,Kharif,Bajra,13.51,2419.84,Disease,32.69
Ahmednagar,2021,Zaid,Maize,52.34,3957.03,Disease,207.11
Vasai-Virar,2022,Zaid,Rice,10.43,1121.11,Pest Attack,11.69
Ratnagiri,2022,Kharif,Soybean,11.75,2031.31,Soil Degradation,23.87
Sangli,2021,Kharif,Onion,46.43,1286.68,Unseasonal Rain,59.74
Navi Mumbai,2024,Zaid,Cotton,43.52,1495.83,Heatwave,65.1
Amravati,2022,Rabi,Onion,17.49,1321.69,Unseasonal Rain,23.12
Ahmednagar,2024,Zaid,Jowar,56.43,3188.99,Unseasonal Rain,179.95
Sindhudurg,2022,Zaid,Sugarcane,6.22,3406.98,Drought,21.19
Palghar,2024,Kharif,Wheat,71.92,110.05,Flood,7.91
Satara,2023,Rabi,Maize,89.43,4593.85,Pest Attack,410.83
Bhiwandi,2023,Rabi,Bajra,38.7,417.04,Unseasonal Rain,16.14
Washim,2022,Rabi,Soybean,90.3,1818.24,Disease,164.19
Kolhapur,2024,Kharif,Cotton,81.83,3853.56,Soil Degradation,315.34
Latur,2021,Rabi,Rice,45.53,162.93,Heatwave,7.42
Mumbai,2023,Kharif,Onion,8.62,2359.1,Drought,20.34
Dhule,2022,Rabi,Cotton,7.31,1750.29,Pest Attack,12.79
Ambarnath,2023,Kharif,Soybean,22.49,2768.36,Disease,62.26
Wardha,2022,Kharif,Soybean,84.16,1432.32,Unseasonal Rain,120.54
Aurangabad,2021,Kharif,Rice,10.21,3225.87,Heatwave,32.94
Ichalkaranji,2023,Zaid,Maize,48.53,4964.97,Drought,240.95
