City,Date,Water_Stress_Index,Availability_Liters_Per_Capita,Demand_Liters_Per_Capita,Groundwater_Level_Meters,Risk_Category
Satara,2025-10-15,4.49,68,169,50.5,Medium
Jalna,2023-11-07,8.58,70,163,33.4,Extremely High
Washim,2024-04-09,6.38,56,145,46.4,High
Jalgaon,2023-07-13,3.33,96,180,30.1,Medium
Parbhani,2024-11-21,2.59,88,108,22.1,Medium
Nagpur,2024-02-02,3.62,71,137,29.9,Medium
Nashik,2023-09-09,7.05,62,134,41.2,High
Kolhapur,2025-07-01,4.54,78,145,30.2,Medium
Chandrapur,2024-02-12,6.95,96,159,39.5,High
Palghar,2025-07-31,9.81,19,130,68.5,Extremely High
Bhandara,2023-01-04,4.74,91,129,45.8,Medium
Gondia,2025-03-21,8.24,63,122,64.0,Extremely High
Parbhani,2023-08-28,1.07,51,178,17.5,Low
Mira-Bhayandar,2025-02-03,7.89,74,192,30.5,High
Mumbai,2023-09-01,8.48,38,180,57.9,Extremely High
Sindhudurg,2023-02-09,6.89,101,185,34.4,High
Gondia,2024-06-06,1.99,133,122,34.4,Low
Panvel,2023-11-02,5.86,72,155,55.5,High
Nashik,2024-04-14,4.82,28,163,42.5,Medium
Panvel,2025-07-30,2.46,106,146,43.2,Low
Amravati,2025-11-02,6.2,53,159,49.9,High
Ahmednagar,2025-12-10,4.86,101,149,49.9,Medium
Malegaon,2023-10-29,8.12,89,190,40.0,Extremely High
Palghar,2023-06-28,7.82,28,148,69.5,High
Dhule,2024-10-17,8.91,104,187,33.3,Extremely High
Latur,2023-10-08,6.05,97,124,25.6,High
Dhule,2025-11-04,2.8,42,133,36.6,Medium
Navi Mumbai,2024-12-28,4.71,78,130,54.3,Medium
Vasai-Virar,2023-02-03,9.23,96,150,73.9,Extremely High
Parbhani,2024-10-17,3.38,36,183,27.4,Medium
Osmanabad,2024-11-07,4.13,84,153,56.7,Medium
Satara,2023-09-18,1.04,142,157,40.0,Low
Ichalkaranji,2024-09-21,6.62,37,147,38.8,High
Parbhani,2023-01-26,6.59,26,122,40.6,High
Chandrapur,2023-02-01,5.36,78,155,35.5,High
Bhusawal,2025-05-13,2.37,61,130,23.0,Low
Mumbai,2024-04-07,9.36,69,180,63.3,Extremely High
Thane,2024-10-26,9.59,55,180,37.8,Extremely High
Nagpur,2023-05-15,3.25,57,142,47.9,Medium
Bhiwandi,2025-02-27,6.33,20,173,68.8,High
Sindhudurg,2024-04-07,5.34,36,145,41.7,High
Ratnagiri,2023-07-22,2.38,39,164,52.2,Low
Jalgaon,2023-07-20,9.86,12,166,35.8,Extremely High
Ahmednagar,2025-01-06,4.91,99,133,23.3,Medium
Ichalkaranji,2023-06-04,9.48,53,144,68.1,Extremely High
Jalna,2024-07-10,7.7,56,122,72.8,High
Beed,2023-01-28,7.24,55,132,60.5,High
Malegaon,2023-06-20,5.93,22,131,64.3,High
Latur,2025-03-16,7.89,11,165,28.9,High
Bhiwandi,2023-10-29,1.94,112,158,36.3,Low
Ambarnath,2023-07-03,6.22,43,182,62.0,High
Beed,2023-05-25,5.75,96,127,54.1,High
Osmanabad,2024-02-23,9.54,47,165,65.9,Extremely High
Panvel,2023-09-14,3.73,91,130,36.9,Medium
Bhandara,2025-04-15,3.12,63,136,38.9,Medium
Aurangabad,2023-06-21,7.4,101,149,42.8,High
Dhule,2023-10-16,4.35,64,158,56.9,Medium
Palghar,2024-08-03,7.6,97,128,44.8,High
Vasai-Virar,2025-04-02,6.18,97,159,26.6,High
Ambarnath,2023-03-08,4.83,54,171,31.8,Medium
Osmanabad,2024-05-22,7.54,67,161,44.7,High
Panvel,2023-09-07,7.59,73,154,36.5,High
Bhiwandi,2024-07-13,9.69,99,139,68.5,Extremely High
Jalna,2025-02-20,5.83,76,116,43.7,High
Latur,2025-03-01,1.2,141,151,44.4,Low
Vasai-Virar,2025-01-15,1.93,74,140,44.7,Low
Mira-Bhayandar,2025-03-09,6.13,62,116,39.3,High
Sindhudurg,2025-07-26,8.96,52,188,57.2,Extremely High
Nashik,2023-06-19,3.4,100,133,29.0,Medium
Kolhapur,2025-01-16,8.69,40,150,35.7,Extremely High
Thane,2025-09-16,1.37,54,171,53.2,Low
Hingoli,2023-02-03,6.39,24,144,55.1,High
Ahmednagar,2025-11-17,4.36,49,167,30.5,Medium
Ulhasnagar,2024-06-09,6.84,89,128,51.3,High
Gondia,2025-07-05,1.82,64,129,18.1,Low
Panvel,2023-08-19,5.04,105,173,22.3,High
Akola,2024-03-05,9.55,5,167,48.5,Extremely High
Ulhasnagar,2024-12-08,6.74,48,122,36.9,High
Navi Mumbai,2024-06-13,4.71,126,150,24.7,Medium
Sindhudurg,2024-12-05,6.91,50,166,66.3,High
Kalyan-Dombivli,2023-10-25,3.74,60,158,31.9,Medium
Ambarnath,2024-10-10,5.65,92,188,22.8,High
Amravati,2023-04-28,4.32,33,130,54.2,Medium
Mira-Bhayandar,2025-01-21,9.67,41,185,63.8,Extremely High
Malegaon,2023-12-22,4.24,75,176,38.3,Medium
Nagpur,2023-05-23,3.15,67,169,33.1,Medium
Nashik,2025-09-27,7.87,77,138,53.4,High
Latur,2024-04-25,8.78,87,175,60.0,Extremely High
Hingoli,2023-08-02,5.89,101,164,60.9,High
Mumbai,2024-06-07,8.82,48,147,71.2,Extremely High
Vasai-Virar,2024-07-11,8.49,55,157,55.9,Extremely High
Satara,2024-05-04,2.48,118,105,43.2,Low
Palghar,2025-07-08,5.12,27,185,55.3,High
Navi Mumbai,2025-11-03,8.87,100,162,51.3,Extremely High
Vasai-Virar,2025-05-04,1.94,69,112,12.4,Low
Nanded,2025-06-01,1.16,100,170,17.8,Low
Ichalkaranji,2023-10-15,3.24,49,158,26.0,Medium
Thane,2024-03-26,1.06,87,156,18.6,Low
Mira-Bhayandar,2023-10-18,5.84,22,124,55.8,High
Ichalkaranji,2025-04-30,9.3,47,120,39.9,Extremely High
Jalgaon,2023-08-06,3.55,111,119,32.3,Medium
Amravati,2025-01-14,2.17,70,176,19.7,Low
Mumbai,2023-05-24,3.65,129,184,31.8,Medium
Dhule,2023-11-09,6.97,43,175,26.8,High
Latur,2024-01-26,8.26,54,183,57.7,Extremely High
Kolhapur,2024-09-14,5.13,75,137,44.0,High
Palghar,2025-06-04,2.08,55,153,25.7,Low
Vasai-Virar,2023-03-26,3.94,119,135,48.2,Medium
Bhandara,2023-08-21,5.73,29,147,37.9,High
Nagpur,2023-04-30,2.09,84,138,46.0,Low
Mumbai,2024-06-12,6.38,48,122,47.3,High
Ratnagiri,2025-04-30,9.51,58,180,62.1,Extremely High
Ratnagiri,2023-11-13,6.71,88,150,60.2,High
Bhandara,2024-10-16,7.43,62,158,46.4,High
Ambarnath,2024-06-25,5.29,118,151,41.3,High
Ichalkaranji,2024-05-24,4.67,39,180,26.7,Medium
Nanded,2023-04-22,6.25,24,187,44.3,High
Jalna,2025-04-16,2.69,44,170,28.1,Medium
Bhiwandi,2025-04-12,8.23,99,128,61.7,Extremely High
Jalna,2024-09-02,3.75,128,159,59.7,Medium
Hingoli,2025-11-18,9.36,38,184,56.3,Extremely High
Bhiwandi,2025-08-24,5.76,69,154,43.2,High
Nandurbar,2023-08-14,5.33,101,122,30.1,High
Kalyan-Dombivli,2023-07-11,5.59,90,117,53.5,High
Thane,2024-02-14,3.9,118,127,54.9,Medium
Hingoli,2024-09-10,8.35,57,128,43.3,Extremely High
Yavatmal,2025-07-22,5.54,40,111,31.3,High
Kolhapur,2024-11-13,1.73,64,167,53.9,Low
Jalgaon,2024-06-30,4.76,116,187,62.8,Medium
Thane,2024-09-28,9.2,86,154,37.6,Extremely High
Wardha,2023-12-14,6.38,37,136,32.0,High
Bhandara,2023-10-27,1.14,80,134,21.7,Low
Akola,2023-07-03,1.73,52,155,23.2,Low
Ulhasnagar,2023-07-29,7.23,61,157,51.7,High
Thane,2024-11-26,6.8,51,124,40.5,High
Aurangabad,2024-07-04,5.02,113,125,45.4,High
Latur,2023-05-22,2.14,112,180,35.6,Low
Ambarnath,2024-12-05,1.6,81,111,22.2,Low
Jalna,2025-09-18,3.64,41,156,48.9,Medium
Beed,2025-04-10,8.15,77,146,55.4,Extremely High
Kolhapur,2025-10-20,4.24,113,175,20.7,Medium
Akola,2023-01-07,7.19,17,140,44.8,High
Dhule,2025-08-11,6.28,99,164,53.1,High
Gondia,2025-04-07,3.17,40,139,23.7,Medium
Sindhudurg,2023-08-31,1.49,92,117,14.8,Low
Panvel,2024-09-23,4.77,117,158,49.6,Medium
Ratnagiri,2024-11-30,2.58,104,170,38.7,Medium
Palghar,2025-05-27,3.96,79,150,22.5,Medium
Mira-Bhayandar,2025-11-24,3.11,109,139,32.3,Medium
Aurangabad,2024-03-26,9.16,62,164,42.3,Extremely High
Kalyan-Dombivli,2025-12-26,3.12,66,125,18.8,Medium
Panvel,2024-03-23,3.21,85,142,29.2,Medium
Solapur,2025-10-02,1.84,78,105,49.5,Low
Hingoli,2023-09-28,2.95,80,164,58.5,Medium
Panvel,2025-08-28,2.39,114,155,40.4,Low
Mumbai,2023-04-28,5.36,53,161,28.0,High
Washim,2025-03-22,3.37,52,147,21.3,Medium
Ambarnath,2024-08-20,5.6,68,144,32.6,High
Nanded,2023-12-18,5.42,75,147,27.1,High
Jalgaon,2025-07-01,1.27,129,111,30.7,Low
Bhandara,2025-12-01,3.61,37,153,26.0,Medium
Sindhudurg,2023-10-27,8.63,43,174,52.7,Extremely High
Jalna,2023-07-25,7.87,83,155,54.5,High
Ichalkaranji,2025-11-17,9.73,66,146,48.7,Extremely High
Mira-Bhayandar,2023-03-12,6.7,92,181,58.6,High
Yavatmal,2024-08-22,5.22,100,177,33.3,High
Palghar,2023-11-26,5.34,106,150,22.5,High
Panvel,2023-08-16,2.1,67,161,34.9,Low
Navi Mumbai,2025-03-11,6.27,39,186,26.7,High
Panvel,2025-06-14,2.71,105,109,36.3,Medium
Latur,2025-02-06,4.58,37,125,41.4,Medium
Pune,2024-01-31,4.44,51,122,22.5,Medium
Nagpur,2023-05-17,2.66,104,172,53.4,Medium
Wardha,2023-04-09,6.16,59,186,30.5,High
Ratnagiri,2023-01-19,8.06,44,130,70.0,Extremely High
Panvel,2025-09-11,1.86,87,110,12.4,Low
Satara,2023-02-14,3.67,55,164,58.5,Medium
Pune,2025-07-10,6.45,19,141,52.9,High
Navi Mumbai,2023-01-08,8.84,79,183,64.3,Extremely High
Ichalkaranji,2023-05-25,1.82,78,156,19.5,Low
Pune,2023-08-02,7.36,16,188,52.2,High
Bhusawal,2024-03-30,7.37,106,161,51.9,High
Nandurbar,2024-12-23,1.28,71,164,38.5,Low
Washim,2023-09-12,6.93,30,122,47.5,High
Bhandara,2024-07-27,7.27,103,147,34.9,High
Wardha,2024-09-12,3.97,79,126,29.9,Medium
Nashik,2024-12-18,8.0,75,172,43.4,Extremely High
Satara,2023-09-16,7.24,67,172,36.5,High
Bhusawal,2023-10-14,4.8,96,178,37.7,Medium
Gondia,2023-01-31,6.19,60,137,59.9,High
Mumbai,2024-07-27,5.56,114,152,32.6,High
Beed,2023-12-09,3.55,106,160,20.6,Medium
Kalyan-Dombivli,2023-09-03,9.25,25,166,41.4,Extremely High
Hingoli,2023-05-28,8.43,85,124,51.5,Extremely High
Wardha,2024-02-19,6.2,61,120,26.4,High
Kolhapur,2025-01-16,9.59,95,186,53.8,Extremely High
Bhandara,2024-08-22,2.35,75,142,40.2,Low
Navi Mumbai,2024-09-03,2.52,100,162,20.9,Medium
Navi Mumbai,2025-01-05,8.31,79,128,70.4,Extremely High
Vasai-Virar,2025-01-23,7.86,90,146,69.5,High
Thane,2024-11-25,6.05,91,167,47.4,High
Jalna,2023-06-20,8.7,88,122,38.6,Extremely High
Solapur,2025-06-20,7.09,90,119,48.5,High
Jalna,2024-08-14,3.56,37,156,57.4,Medium
Navi Mumbai,2025-07-14,2.89,101,118,52.2,Medium
Beed,2024-10-27,3.63,58,159,43.4,Medium
Gondia,2023-11-16,1.52,134,171,10.4,Low
Ambarnath,2023-09-13,9.61,83,188,76.6,Extremely High
Sindhudurg,2024-10-25,5.82,71,153,55.7,High
Beed,2023-09-19,8.15,31,150,72.8,Extremely High
Nagpur,2024-08-08,3.57,52,143,25.3,Medium
Nashik,2023-02-21,4.28,79,156,40.2,Medium
Palghar,2023-02-22,5.67,81,126,36.6,High
Solapur,2023-10-26,3.95,57,129,22.2,Medium
Bhandara,2024-12-04,1.1,88,172,50.9,Low
Chandrapur,2024-11-30,2.73,119,126,42.2,Medium
Sangli,2025-06-26,2.73,69,159,48.1,Medium
Palghar,2024-07-19,1.46,76,149,51.4,Low
Gondia,2025-09-20,9.22,73,148,44.5,Extremely High
Sindhudurg,2023-05-19,9.65,50,132,57.6,Extremely High
Thane,2024-12-03,9.43,92,134,43.0,Extremely High
Panvel,2023-03-31,8.15,63,167,57.8,Extremely High
Ichalkaranji,2025-05-22,6.12,61,130,67.9,High
Solapur,2025-03-21,9.1,91,177,63.2,Extremely High
Thane,2024-04-12,9.72,56,180,37.2,Extremely High
Vasai-Virar,2025-09-16,3.81,87,118,57.8,Medium
Kolhapur,2024-03-01,5.22,29,157,25.8,High
Beed,2023-07-21,5.91,47,177,37.8,High
Akola,2025-05-24,3.58,49,135,41.9,Medium
Solapur,2024-10-21,2.86,89,166,57.5,Medium
Beed,2025-02-04,5.17,104,120,65.5,High
Ratnagiri,2023-01-04,7.12,46,192,28.1,High
Akola,2023-06-14,5.7,52,141,52.6,High
Kolhapur,2024-03-27,4.69,36,145,31.9,Medium
Ratnagiri,2025-12-03,6.68,101,161,54.5,High
Mira-Bhayandar,2024-02-26,4.77,51,170,31.8,Medium
Akola,2025-02-16,4.08,58,181,51.3,Medium
Palghar,2023-02-01,3.82,99,157,46.0,Medium
Aurangabad,2024-04-02,9.12,83,132,37.4,Extremely High
Kalyan-Dombivli,2023-11-29,2.98,134,144,15.5,Medium
Ratnagiri,2025-07-06,3.2,119,161,48.9,Medium
Palghar,2024-08-20,3.9,61,150,23.4,Medium
Kalyan-Dombivli,2024-02-03,3.64,81,119,49.3,Medium
Chandrapur,2024-05-29,8.76,33,131,74.4,Extremely High
Ahmednagar,2024-09-07,3.48,76,145,40.4,Medium
Thane,2024-10-15,8.51,91,122,60.8,Extremely High
Sangli,2025-04-02,7.16,28,130,49.3,High
Akola,2024-03-12,7.31,24,143,31.5,High
Vasai-Virar,2023-07-09,3.46,103,161,55.4,Medium
Chandrapur,2023-11-18,9.61,27,138,45.6,Extremely High
Amravati,2023-08-15,3.77,125,113,31.0,Medium
Parbhani,2025-01-27,1.75,126,136,38.5,Low
Amravati,2024-08-10,5.79,25,185,31.7,High
Bhandara,2025-12-23,7.27,78,121,29.9,High
Ichalkaranji,2024-11-16,7.31,99,179,52.7,High
Panvel,2025-01-19,7.02,57,175,29.6,High
Nanded,2023-05-07,4.06,98,174,38.9,Medium
Gondia,2023-04-14,3.75,48,154,17.0,Medium
Navi Mumbai,2024-01-31,7.46,103,153,51.2,High
Beed,2023-10-17,6.66,87,124,68.4,High
Amravati,2024-09-11,2.67,40,108,15.7,Medium
Jalna,2023-03-04,5.34,69,180,51.9,High
Ahmednagar,2023-12-13,1.31,59,158,11.5,Low
Akola,2025-08-21,3.3,34,110,31.3,Medium
Kalyan-Dombivli,2023-12-12,8.5,38,125,47.8,Extremely High
Yavatmal,2024-03-01,5.01,96,171,27.4,High
Kalyan-Dombivli,2024-04-04,8.43,17,150,55.3,Extremely High
Satara,2023-03-20,9.55,42,123,50.2,Extremely High
Panvel,2025-03-21,9.29,10,152,58.5,Extremely High
Mira-Bhayandar,2024-09-20,9.15,6,185,65.2,Extremely High
Latur,2025-05-17,1.54,102,164,43.5,Low
Vasai-Virar,2025-07-11,9.64,59,181,35.3,Extremely High
Jalgaon,2025-11-02,2.84,82,181,50.4,Medium
Dhule,2024-03-10,2.17,81,124,23.8,Low
Solapur,2024-02-21,7.05,64,180,36.0,High
Satara,2024-01-09,7.02,50,190,36.1,High
Yavatmal,2025-07-18,3.61,121,115,22.6,Medium
Sindhudurg,2025-03-25,5.6,39,147,60.2,High
Gondia,2025-10-28,1.02,112,110,13.3,Low
Ulhasnagar,2023-12-18,3.07,44,120,39.1,Medium
Osmanabad,2023-12-02,6.4,28,150,48.9,High
Bhusawal,2023-09-25,6.35,80,140,36.8,High
Amravati,2024-06-03,8.41,103,154,71.6,Extremely High
Ichalkaranji,2025-05-31,1.25,102,137,36.6,Low
Palghar,2025-08-10,2.83,80,125,48.7,Medium
Washim,2025-10-14,1.96,110,110,33.0,Low
Osmanabad,2023-11-10,6.02,98,182,40.0,High
Ahmednagar,2025-12-10,1.23,57,143,28.6,Low
Bhiwandi,2024-11-26,7.33,56,193,39.3,High
Ahmednagar,2024-03-11,5.22,49,126,36.7,High
Ahmednagar,2023-07-25,2.26,50,169,22.8,Low
Panvel,2025-12-22,2.89,126,126,42.1,Medium
Nanded,2025-07-03,6.15,23,145,65.1,High
Ichalkaranji,2023-06-24,7.38,43,189,54.7,High
Sindhudurg,2024-10-21,2.74,38,175,35.6,Medium
Solapur,2024-09-30,3.04,80,106,19.7,Medium
Bhiwandi,2025-12-12,5.87,114,135,35.6,High
Palghar,2025-09-17,4.49,112,132,33.7,Medium
Aurangabad,2023-10-06,2.6,104,162,55.5,Medium
Osmanabad,2023-10-22,1.94,138,140,28.6,Low
Panvel,2023-05-27,3.09,93,110,48.5,Medium
Jalna,2024-11-04,2.98,65,132,31.8,Medium
Dhule,2023-01-05,3.51,42,140,24.8,Medium
Jalgaon,2023-02-23,6.0,30,113,35.6,High
Ratnagiri,2025-09-14,7.53,36,128,41.4,High
Osmanabad,2024-03-17,1.25,94,169,18.3,Low
Dhule,2025-06-19,2.09,65,150,13.6,Low
Sangli,2023-09-08,3.22,42,120,57.9,Medium
Ahmednagar,2024-08-11,8.63,40,130,64.6,Extremely High
Mumbai,2023-03-22,5.34,51,188,57.2,High
Osmanabad,2023-07-01,1.02,97,179,50.9,Low
Vasai-Virar,2025-11-13,6.06,21,120,40.6,High
Osmanabad,2023-01-09,9.21,40,172,53.2,Extremely High
Ahmednagar,2023-02-10,5.88,119,179,22.7,High
Osmanabad,2023-09-08,7.11,20,192,55.7,High
Nagpur,2024-09-17,4.73,64,128,33.1,Medium
Aurangabad,2023-05-26,9.39,31,125,44.3,Extremely High
Jalna,2023-02-06,9.39,102,197,77.6,Extremely High
Jalna,2023-03-31,2.61,101,144,16.2,Medium
Ichalkaranji,2024-02-11,3.28,49,114,32.5,Medium
Pune,2023-04-03,9.88,74,188,72.4,Extremely High
Nagpur,2023-09-03,1.34,89,114,52.5,Low
Amravati,2025-01-21,3.07,123,143,29.3,Medium
Malegaon,2025-11-02,4.49,44,181,26.5,Medium
Panvel,2025-07-29,2.05,122,160,21.9,Low
Vasai-Virar,2025-02-13,7.7,62,178,41.1,High
Kalyan-Dombivli,2024-10-21,1.3,75,137,27.8,Low
Palghar,2023-07-27,2.15,127,120,34.1,Low
Latur,2023-01-05,7.04,53,123,33.8,High
Jalna,2024-12-18,5.88,28,120,54.8,High
Solapur,2024-01-16,3.83,60,159,48.7,Medium
Kolhapur,2024-05-30,3.5,113,127,16.9,Medium
Yavatmal,2023-01-01,2.43,78,145,12.8,Low
Palghar,2024-05-03,7.79,65,136,42.6,High
Solapur,2025-03-25,3.4,95,134,56.7,Medium
Aurangabad,2024-12-07,2.42,134,150,56.7,Low
Satara,2025-09-12,8.99,40,188,36.0,Extremely High
Malegaon,2025-12-07,7.63,39,190,44.5,High
Bhandara,2025-09-16,3.2,51,139,35.4,Medium
Yavatmal,2023-12-18,9.1,56,185,39.1,Extremely High
Nagpur,2024-08-24,3.16,50,111,52.0,Medium
Pune,2023-10-12,6.1,34,167,23.7,High
Sindhudurg,2024-11-01,2.94,115,139,40.3,Medium
Bhusawal,2025-09-17,8.75,43,168,62.4,Extremely High
Ratnagiri,2025-12-15,6.82,71,174,61.1,High
Yavatmal,2023-08-01,2.87,117,144,39.5,Medium
Mira-Bhayandar,2025-06-29,1.27,132,170,36.6,Low
Beed,2025-05-25,5.3,70,123,23.8,High
Navi Mumbai,2023-05-21,4.61,74,167,53.7,Medium
Nagpur,2025-05-12,1.31,96,129,53.3,Low
Gondia,2025-10-01,9.05,20,161,48.9,Extremely High
Chandrapur,2023-03-15,5.17,118,132,54.3,High
Panvel,2023-09-08,7.16,81,152,69.2,High
Jalgaon,2025-12-10,9.71,8,166,65.2,Extremely High
Wardha,2025-11-01,3.62,128,166,58.7,Medium
Hingoli,2024-03-23,9.86,47,170,40.8,Extremely High
Kalyan-Dombivli,2023-10-22,3.71,119,180,48.9,Medium
Navi Mumbai,2024-11-11,2.92,107,140,24.8,Medium
Sangli,2025-10-05,7.09,72,169,35.8,High
Bhiwandi,2025-01-08,8.11,48,180,37.4,Extremely High
Latur,2025-05-05,8.59,39,196,34.9,Extremely High
Mira-Bhayandar,2025-11-18,1.17,50,116,14.7,Low
Sindhudurg,2024-09-20,8.12,58,142,53.9,Extremely High
Aurangabad,2025-01-27,3.79,84,144,38.4,Medium
Sangli,2024-06-19,2.06,125,136,36.8,Low
Yavatmal,2025-09-12,1.24,135,111,29.3,Low
Yavatmal,2025-07-18,1.06,123,155,19.2,Low
Mumbai,2024-08-29,1.03,122,128,52.1,Low
Amravati,2025-04-25,4.65,57,115,46.2,Medium
Nanded,2024-06-20,6.39,110,192,40.4,High
Gondia,2023-06-23,7.2,60,119,69.8,High
Chandrapur,2024-09-01,9.05,65,141,43.1,Extremely High
Satara,2024-06-07,3.02,75,181,27.9,Medium
Nandurbar,2025-07-21,5.49,122,124,60.9,High
Gondia,2024-09-06,6.46,31,161,29.2,High
Jalna,2025-11-16,8.62,80,137,57.0,Extremely High
Thane,2025-07-04,4.51,29,141,40.0,Medium
Panvel,2025-09-24,3.4,92,125,33.4,Medium
Nashik,2023-03-21,8.24,80,123,33.9,Extremely High
Kolhapur,2024-03-19,1.25,68,159,24.4,Low
Panvel,2024-02-25,4.78,56,158,38.3,Medium
Ichalkaranji,2024-08-13,2.92,38,170,45.7,Medium
Vasai-Virar,2024-07-05,9.03,19,133,55.2,Extremely High
Navi Mumbai,2025-07-13,1.63,63,137,30.3,Low
Malegaon,2024-02-28,2.33,56,134,19.8,Low
Latur,2025-05-17,1.49,85,157,45.4,Low
Pune,2025-07-09,1.42,63,116,41.6,Low
Ulhasnagar,2024-02-08,8.57,27,186,40.4,Extremely High
Vasai-Virar,2023-06-20,2.17,95,113,46.2,Low
Kolhapur,2024-06-14,6.28,98,139,26.4,High
Ratnagiri,2024-12-16,7.58,70,127,61.9,High
Vasai-Virar,2023-10-25,1.69,112,182,25.5,Low
Palghar,2023-01-01,5.47,121,150,46.2,High
Nandurbar,2025-12-05,8.6,35,151,40.5,Extremely High
Ahmednagar,2025-03-15,4.08,111,140,25.0,Medium
Navi Mumbai,2023-05-12,8.34,101,147,31.3,Extremely High
Palghar,2023-03-24,4.97,25,163,59.9,Medium
Ambarnath,2025-06-19,5.16,114,184,49.2,High
Dhule,2023-08-17,2.84,61,134,56.5,Medium
Navi Mumbai,2025-11-11,3.18,133,163,42.8,Medium
Solapur,2024-07-16,1.01,140,157,12.3,Low
Panvel,2023-12-27,2.45,47,114,51.6,Low
Aurangabad,2024-06-09,6.02,75,169,35.3,High
Thane,2024-08-20,3.07,118,107,16.5,Medium
Nandurbar,2025-05-30,8.97,94,138,36.9,Extremely High
Dhule,2023-10-20,2.52,57,155,44.7,Medium
Kalyan-Dombivli,2023-05-28,1.36,115,128,23.6,Low
Bhusawal,2023-11-28,2.84,95,121,26.4,Medium
Mumbai,2023-02-07,3.93,31,186,19.1,Medium
Pune,2023-08-18,4.07,38,110,26.7,Medium
Malegaon,2024-02-19,6.06,100,129,61.0,High
Dhule,2024-12-02,9.36,13,190,53.8,Extremely High
Hingoli,2025-09-24,9.66,84,175,55.9,Extremely High
Gondia,2025-03-18,7.03,105,131,60.4,High
Kalyan-Dombivli,2024-07-11,9.29,25,158,45.2,Extremely High
Kolhapur,2024-05-30,8.97,32,149,74.5,Extremely High
Solapur,2023-02-14,6.33,73,188,55.1,High
Vasai-Virar,2023-11-23,4.31,70,139,49.1,Medium
Mumbai,2024-06-30,2.18,73,154,53.7,Low
Ichalkaranji,2024-05-23,6.98,30,191,70.3,High
Akola,2024-10-10,8.83,75,121,70.3,Extremely High
Yavatmal,2024-01-26,2.35,74,153,53.6,Low
Parbhani,2024-01-08,1.91,52,112,47.6,Low
Chandrapur,2024-07-21,8.12,45,119,42.9,Extremely High
Bhiwandi,2023-07-31,8.79,9,128,41.6,Extremely High
Navi Mumbai,2025-02-15,5.47,108,141,33.7,High
Satara,2024-10-06,4.58,51,145,19.3,Medium
Mumbai,2025-12-08,5.09,49,118,55.5,High
Akola,2025-03-18,3.49,114,166,32.1,Medium
Thane,2025-10-09,9.05,26,158,69.7,Extremely High
Washim,2025-05-11,6.45,38,169,59.2,High
Palghar,2024-02-17,5.93,119,150,64.2,High
Navi Mumbai,2025-10-28,4.6,106,150,56.3,Medium
Chandrapur,2024-12-27,4.89,73,140,49.8,Medium
Vasai-Virar,2025-01-31,9.61,64,191,38.0,Extremely High
Ulhasnagar,2025-08-02,7.23,61,168,45.5,High
Gondia,2023-02-20,5.58,37,166,47.4,High
Akola,2023-12-03,1.19,90,136,28.7,Low
Sangli,2024-07-09,8.84,22,160,35.1,Extremely High
Amravati,2023-06-01,5.21,40,133,37.1,High
Panvel,2025-10-21,9.14,72,197,54.0,Extremely High
Palghar,2023-09-20,1.81,101,112,54.6,Low
Panvel,2024-03-25,2.35,112,108,39.9,Low
Parbhani,2024-05-29,6.07,67,190,59.1,High
Ichalkaranji,2025-05-02,3.99,53,134,45.1,Medium
Navi Mumbai,2023-05-04,7.92,20,169,33.6,High
Kolhapur,2023-07-04,4.8,98,120,40.1,Medium
Solapur,2025-06-01,9.59,69,180,64.6,Extremely High
Sindhudurg,2023-06-18,4.02,116,139,54.9,Medium
Pune,2024-08-27,8.68,106,149,49.4,Extremely High
Satara,2023-05-23,7.5,78,153,60.0,High
Mumbai,2023-09-30,7.8,64,121,62.5,High
Mira-Bhayandar,2025-08-07,3.92,60,160,49.0,Medium
Satara,2023-07-31,4.99,31,156,52.1,Medium
Palghar,2024-06-07,7.86,67,177,52.8,High
Bhiwandi,2025-01-04,9.2,70,121,73.2,Extremely High
Malegaon,2024-01-02,6.74,86,153,37.6,High
Dhule,2024-02-17,7.34,92,194,29.8,High
Solapur,2025-03-26,3.29,132,180,19.8,Medium
Nagpur,2025-03-18,6.26,107,150,60.3,High
Kalyan-Dombivli,2023-01-29,7.99,17,180,42.0,High
Bhusawal,2025-11-30,7.9,85,122,61.8,High
Wardha,2023-08-27,3.66,104,116,47.7,Medium
Latur,2023-09-13,1.58,126,111,10.5,Low
Hingoli,2024-11-27,8.55,32,124,32.3,Extremely High
Bhandara,2023-09-04,8.07,70,142,39.4,Extremely High
Hingoli,2024-06-15,8.8,64,158,70.5,Extremely High
Osmanabad,2025-11-13,3.82,63,109,55.8,Medium
Malegaon,2025-07-30,8.58,24,144,48.8,Extremely High
Bhusawal,2025-09-07,2.9,47,128,51.5,Medium
Sangli,2025-09-12,3.9,118,167,32.6,Medium
Jalna,2025-06-30,9.61,80,164,54.2,Extremely High
Aurangabad,2024-11-09,5.0,60,151,49.1,High
Ahmednagar,2025-04-16,6.5,114,192,28.1,High
Malegaon,2025-09-15,4.01,39,119,50.0,Medium
Amravati,2023-10-04,3.57,115,136,28.5,Medium
Thane,2024-11-04,2.61,127,167,47.2,Medium
Jalna,2024-04-04,9.12,23,152,51.1,Extremely High
Nagpur,2025-06-13,1.03,80,144,36.9,Low
Kolhapur,2025-09-27,1.03,133,162,38.2,Low
